ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
3070,1.47E-06,0
3071,1.47E-06,0
3076,1.47E-06,0
3077,3.30E-06,0
3079,3.30E-06,0
3082,1.47E-06,0
3084,1.47E-06,0
3086,1.47E-06,0
3087,3.30E-06,0
3101,1.47E-06,0
3102,1.47E-06,0
3103,3.99E-06,0
3104,1.08E-06,0
3106,1.47E-08,0
3109,1.47E-06,0
3110,1.47E-06,0
3215,4.47E-06,0
3216,1.47E-08,0
3217,4.47E-06,0
3218,3.27E-06,0
3220,3.46E-06,0
3221,1.47E-08,0
3222,4.47E-06,0
3223,4.47E-06,0
3224,1.47E-08,0
3225,2.12E-06,0
3226,3.27E-06,0
3227,0,0
3229,1.47E-08,0
3230,1.47E-08,0
3231,1.47E-08,0
3233,1.47E-08,0
3234,1.47E-08,0
3235,1.47E-08,0
3237,3.27E-06,0
3238,4.47E-06,0
3240,4.47E-06,0
3241,4.47E-06,0
3242,1.47E-08,0
3243,1.47E-08,0
3244,1.47E-06,0
3245,4.47E-06,0
3246,3.27E-06,0
3249,3.27E-06,0
3251,4.47E-06,0
3253,3.27E-06,0
3254,1.83E-06,0
3255,1.47E-08,0
3256,3.27E-06,0
3257,1.47E-08,0
3258,1.47E-08,0
3259,0,0
3260,1.47E-08,0
3261,3.30E-06,0
3262,4.47E-06,0
3263,1.47E-08,0
3264,4.47E-06,0
3266,4.47E-06,0
3268,1.47E-08,0
3269,3.27E-06,0
3273,1.47E-08,0
3275,1.47E-08,0
3276,9.57E-07,0
3278,1.47E-08,0
3279,4.47E-06,0
3280,4.65E-06,0
3281,1.47E-06,0
3282,4.47E-06,0
3284,4.65E-06,0
3285,4.47E-06,0
3287,1.47E-08,0
3290,3.30E-06,0
3291,3.30E-06,0
3293,4.47E-06,0
3301,1.47E-08,0
3303,1.47E-08,0
3304,1.47E-08,0
3307,1.47E-08,0
3431,2.88E-09,0
3440,1.47E-06,0
3441,2.88E-09,0
3442,1.47E-06,0
3443,2.88E-09,0
3444,2.88E-09,0
3445,2.88E-09,0
3446,2.88E-09,0
3447,2.88E-09,0
3448,2.88E-09,0
3449,1.47E-06,0
3450,2.88E-09,0
3451,2.88E-09,0
3452,2.88E-09,0
3455,2.88E-09,0
3456,2.88E-09,0
3457,2.88E-09,0
3458,4.40E-06,0
3461,2.88E-09,0
3462,2.88E-09,0
3464,2.88E-09,0
3465,2.88E-09,0
3466,2.88E-09,0
3467,2.88E-09,0
3470,2.88E-09,0
3561,4.47E-06,0
3570,0,0
3574,4.47E-06,0
3575,0,0
3576,0,0
3579,0,0
3580,4.47E-06,0
3581,0,0
3582,0,0
3583,0,0
3584,0,0
3585,4.47E-06,0
3586,4.47E-06,0
3588,0,0
3590,0,0
3592,0,0
3593,0,0
3595,0,0
3597,0,0
3598,0,0
3601,4.65E-06,0
3602,1.68E-06,0
3603,4.65E-06,0
3604,2.88E-09,0
3605,4.65E-06,0
3607,4.65E-06,0
3608,2.88E-09,0
3609,2.88E-09,0
3740,4.47E-06,0
3741,1.41E-05,0
3743,9.50E-06,0
3745,4.65E-06,0
3746,4.65E-06,0
3748,4.53E-06,0
3750,4.47E-06,0
3751,4.65E-06,0
3752,4.65E-06,0
3753,4.65E-06,0
3754,4.65E-06,0
3755,4.47E-06,0
3765,4.47E-06,0
3766,4.47E-06,0
3768,4.47E-06,0
3770,4.65E-06,0
3771,4.47E-06,0
3773,4.65E-06,0
3774,4.47E-06,0
