zcta,adult_population,presidential_votes,voter_percent_of_population
36871,968,751,0.775826446
36874,7569,4517,0.596776324
36875,3181,2352,0.739390129
36877,10033,5097,0.508023522
36879,1875,2334,1
36901,369,166,0.449864499
36904,2918,1993,0.683002056
36907,1295,919,0.70965251
36908,1692,1450,0.856973995
36910,63,13,0.206349206
36912,1762,1077,0.61123723
36913,36,37,1
36915,503,338,0.671968191
36916,670,381,0.568656716
36919,1285,1184,0.921400778
36921,701,604,0.861626248
36922,450,352,0.782222222
36925,2391,1367,0.571727311
38852,NA,21,NA
38769,NA,1,NA
65729,NA,21,NA
65733,NA,131,NA
65761,NA,56,NA
71601,10957,4497,0.410422561
71602,12008,6399,0.532894737
71603,24581,11956,0.486391929
71630,322,143,0.444099379
71631,353,253,0.716713881
71635,8778,4574,0.521075416
71638,3023,1086,0.359245782
71639,4070,1980,0.486486486
71640,2322,1011,0.435400517
71642,683,242,0.35431918
71643,795,381,0.479245283
71644,5423,298,0.054951134
71646,4769,2424,0.508282659
71647,1516,623,0.410949868
71651,80,52,0.65
71652,792,435,0.549242424
71653,3310,2123,0.641389728
71654,3174,1622,0.511027095
71655,11739,5597,0.476786779
71658,584,193,0.330479452
71659,58,31,0.534482759
71660,565,415,0.734513274
71661,289,158,0.546712803
71662,184,21,0.114130435
71663,447,280,0.62639821
71665,4584,2545,0.555191972
71666,44,28,0.636363636
71667,4895,3048,0.6226762
71670,1005,500,0.497512438
71671,6504,2767,0.425430504
71674,475,202,0.425263158
71675,1532,800,0.522193211
71676,397,236,0.594458438
71677,152,114,0.75
71701,14133,7112,0.503219416
71711,88,26,0.295454545
71720,1702,1027,0.603407756
71722,45,41,0.911111111
71724,364,184,0.505494505
71725,328,175,0.533536585
71726,1059,822,0.776203966
71730,22715,12506,0.550561303
71740,1362,691,0.507342144
71742,4045,1845,0.456118665
71743,2931,1438,0.490617537
71744,2479,1385,0.558693021
71745,315,132,0.419047619
71747,860,390,0.453488372
71749,2117,1038,0.490316486
71751,742,362,0.48787062
71752,707,351,0.496463932
71753,13072,5713,0.437041004
71758,247,235,0.951417004
71759,549,262,0.47723133
71762,1683,954,0.56684492
71763,1498,643,0.429238985
71764,1474,671,0.455223881
71765,1536,998,0.649739583
71766,487,267,0.54825462
71770,2712,1287,0.474557522
71772,10,11,1
71801,12244,4837,0.395050637
71820,15,43,1
71822,6503,3437,0.528525296
71823,26,54,1
71825,302,224,0.741721854
71826,769,376,0.488946684
71827,773,338,0.437257439
71832,7972,2933,0.367912694
71833,1549,815,0.526145901
71834,693,588,0.848484848
71835,860,460,0.534883721
71836,2343,1203,0.513444302
71837,4419,2264,0.512333107
71838,713,390,0.546984572
71839,296,94,0.317567568
71841,800,346,0.4325
71842,1607,765,0.476042315
71845,1599,815,0.509693558
71846,1893,1128,0.595879556
71847,471,250,0.530785563
71851,1584,749,0.472853535
71852,7303,3603,0.493358894
71853,188,128,0.680851064
71854,27796,13573,0.48830767
71855,452,201,0.444690265
71857,3821,2137,0.559277676
71858,1793,693,0.386503067
71859,440,172,0.390909091
71860,1864,885,0.474785408
71861,1473,993,0.67413442
71862,642,273,0.425233645
71865,145,75,0.517241379
71866,415,289,0.696385542
71901,23275,11822,0.50792696
71909,14383,11762,0.81777098
71913,37619,19576,0.520375342
71921,2586,1355,0.523975251
71922,87,44,0.505747126
71923,12344,5882,0.476506805
71929,3437,1954,0.568519057
71933,1180,648,0.549152542
71935,414,300,0.724637681
71937,1603,721,0.449781659
71940,1380,647,0.46884058
71941,1634,864,0.52876377
71943,3287,1483,0.451171281
71944,612,246,0.401960784
71945,967,552,0.570837642
71949,1333,1061,0.795948987
71950,613,371,0.605220228
71952,21,64,1
71953,10884,6541,0.600973907
71956,1240,696,0.561290323
71957,2327,1425,0.61237645
71958,1878,1060,0.564430245
71959,665,294,0.442105263
71960,1340,530,0.395522388
71961,871,434,0.498277842
71962,608,351,0.577302632
71964,3075,1817,0.590894309
