"ZCTA","policeviolence_harmonicmean_pop","policeviolence_harmonicmean_black"
"03291",1.96564081578369e-06,0
"03293",4.44560100102632e-06,0
"03301",1.33644587287838e-06,0
"03303",1.33644587287838e-06,0
"03304",1.33644587287838e-06,0
"03307",1.33644587287838e-06,0
"03431",0,0
"03440",9.57259208121325e-07,0
"03441",0,0
"03442",9.57259208121325e-07,0
"03443",0,0
"03444",0,0
"03445",0,0
"03446",0,0
"03447",0,0
"03448",0,0
"03449",9.57259208121325e-07,0
"03450",0,0
"03451",0,0
"03452",0,0
"03455",0,0
"03456",0,0
"03457",0,0
"03458",8.08157285530288e-07,0
"03461",0,0
"03462",0,0
"03464",0,0
"03465",0,0
"03466",0,0
"03467",0,0
"03470",0,0
"03561",4.44560100102632e-06,0
"03570",6.32480151426811e-06,0
"03574",4.93428634624654e-06,0
"03575",6.32480151426811e-06,0
"03576",6.32480151426811e-06,0
"03579",4.44984056697806e-06,0
"03580",4.44560100102632e-06,0
"03581",6.32480151426811e-06,0
"03582",6.32480151426811e-06,0
"03583",6.32480151426811e-06,0
"03584",6.32480151426811e-06,0
"03585",4.44560100102632e-06,0
"03586",4.44560100102632e-06,0
"03588",6.32480151426811e-06,0
"03590",6.32480151426811e-06,0
"03592",6.32480151426811e-06,0
"03593",6.32480151426811e-06,0
"03595",6.32480151426811e-06,0
"03597",6.32480151426811e-06,0
"03598",1.93265911760104e-05,0
"03601",4.62170352070869e-06,0
"03602",1.6765494452293e-06,0
"03603",4.62170352070869e-06,0
"03604",0,0
"03605",4.62170352070869e-06,0
"03607",4.62170352070869e-06,0
"03608",0,0
"03609",0,0
"03740",4.44560100102632e-06,0
"03741",1.39914214964864e-05,0
"03743",9.49056014317699e-06,0
"03745",4.62170352070869e-06,0
"03748",4.50279152464614e-06,0
"03750",4.44560100102632e-06,0
"03751",4.62170352070869e-06,0
"03752",4.62170352070869e-06,0
"03753",4.62170352070869e-06,0
"03755",4.44560100102632e-06,0
"03765",4.44560100102632e-06,0
"03766",4.44560100102632e-06,0
"03768",4.44560100102632e-06,0
"03770",4.62170352070869e-06,0
"03771",4.44560100102632e-06,0
"03773",4.62170352070869e-06,0
"03774",4.44560100102632e-06,0
"03777",4.44560100102632e-06,0
"03779",4.44560100102632e-06,0
"03780",4.44560100102632e-06,0
"03781",4.62170352070869e-06,0
"03782",4.62170352070869e-06,0
"03784",4.44560100102632e-06,0
"03785",4.44560100102632e-06,0
"03801",1.96564081578369e-06,0
"03809",6.61940954628421e-06,0
"03810",6.61940954628421e-06,0
"03811",1.96564081578369e-06,0
"03812",0,0
"03813",0,0
"03814",0,0
"03816",0,0
"03817",0,0
"03818",0,0
"03819",1.96564081578369e-06,0
"03820",1.54906804337688e-06,0
"03823",1.54906804337688e-06,0
"03824",1.54906804337688e-06,0
"03825",1.54906804337688e-06,0
"03826",1.96564081578369e-06,0
"03827",1.96564081578369e-06,0
"03830",0,0
"03832",0,0
"03833",1.96564081578369e-06,0
"03835",1.54906804337688e-06,0
"03836",0,0
"03837",6.61940954628421e-06,0
"03838",0,0
"03839",5.67684743353191e-06,0
"03840",1.96564081578369e-06,0
"03841",1.96564081578369e-06,0
"03842",5.39038557138626e-06,0
"03844",1.96564081578369e-06,0
"03845",0,0
"03846",0,0
"03847",0,0
"03848",1.96564081578369e-06,0
"03849",0,0
"03850",0,0
"03851",1.54906804337688e-06,0
"03852",1.54906804337688e-06,0
"03853",0,0
"03854",1.96564081578369e-06,0
"03855",1.54906804337688e-06,0
"03856",1.96564081578369e-06,0
"03857",1.96564081578369e-06,0
"03858",6.87494371984448e-06,0
"03860",0,0
"03861",1.54906804337688e-06,0
"03862",1.96564081578369e-06,0
